GLOBAL_ID,processed_txt,travel_mode,sentiment,reasoning,model
2005,"bitch you thought nyers were linebackers before, getting a seat on the train now has become it is own sport for us",Subway,Negative,The speaker considers getting a seat on the train to be a challenging and competitive sport for New Yorkers.,llama2
2005,"bitch you thought nyers were linebackers before, getting a seat on the train now has become it is own sport for us",Subway,Positive,The competition for seats on the subway has become a sport for New Yorkers.,mistral
2005,"bitch you thought nyers were linebackers before, getting a seat on the train now has become it is own sport for us",Subway,Negative,Finding a seat on the subway is difficult and has become a sport.,openai
2006,the girl across from me on the train staring at me like,Subway,Negative,"The girl on the train is staring at the writer, creating an uncomfortable atmosphere.",llama2
2006,the girl across from me on the train staring at me like,Subway,Negative,The girl across from me on the train was staring at me in an uncomfortable way.,mistral
2006,the girl across from me on the train staring at me like,Subway,Negative,Uncomfortable feeling due to someone staring.,openai
2007,cleared: incident on at hoboken path station,Subway,Neutral,"The tweet mentions that the incident at Hoboken Path Station has been cleared, indicating that the subway service is functioning normally.",llama2
2007,cleared: incident on at hoboken path station,Subway,Neutral,The incident on the Hoboken Path station has been cleared.,mistral
2007,cleared: incident on at hoboken path station,Unknown,Neutral,Doesn't mention any travel modes.,openai
2008,"to the 2 dudes inside this train car with no masks, vete pal carajo",Subway,Negative,The writer is expressing frustration towards two individuals on a train without masks during a pandemic.,llama2
2008,"to the 2 dudes inside this train car with no masks, vete pal carajo",Subway,Negative,The tweet is a negative comment about two people not wearing masks on a subway train.,mistral
2008,"to the 2 dudes inside this train car with no masks, vete pal carajo",Subway,Negative,Expresses frustration at people not wearing masks.,openai
2009,"i am at mta nyct linden shop in brooklyn, ny https: and and t.co and pmnh374xkf",Unknown,Neutral,The tweet does not mention any travel mode or sentiment.,llama2
2009,"i am at mta nyct linden shop in brooklyn, ny https: and and t.co and pmnh374xkf",Subway,Neutral,The tweet is about a specific location and doesn't express any sentiment.,mistral
2009,"i am at mta nyct linden shop in brooklyn, ny https: and and t.co and pmnh374xkf",Unknown,Neutral,Doesn't mention travel mode or sentiment.,openai
2010,running for the subway is never worth it. not only do they never wait for you but you end up sweating your ass off all day,Subway,Negative,The speaker feels that running for the subway is not worth it due to the lack of wait time and excessive sweating.,llama2
2010,running for the subway is never worth it. not only do they never wait for you but you end up sweating your ass off all day,Subway,Negative,The subway is often late and makes you sweat.,mistral
2010,running for the subway is never worth it. not only do they never wait for you but you end up sweating your ass off all day,Subway,Negative,The speaker expresses frustration with the subway's lack of wait time.,openai
2011,cleared: incident on at hoboken path station,Subway,Neutral,The tweet simply states that an incident has been cleared at a subway station.,llama2
2011,cleared: incident on at hoboken path station,Subway,Neutral,The incident on the Hoboken Path station has been cleared.,mistral
2011,cleared: incident on at hoboken path station,Unknown,Neutral,Doesn't mention any travel modes.,openai
2012,cleared: incident on at hoboken path station,Subway,Neutral,"The tweet mentions that the incident at Hoboken Path Station has been cleared, indicating that the subway service is running smoothly.",llama2
2012,cleared: incident on at hoboken path station,Subway,Neutral,The incident on the Hoboken Path station has been cleared.,mistral
2012,cleared: incident on at hoboken path station,Unknown,Neutral,Doesn't mention any travel modes.,openai
2013,lol. i lost my moms spare key when he played rose land in 2913(?). had to go without sleep first train in the am to my folks in ct.,Unknown,Neutral,"The tweet mentions a lost key and a train journey without sleep, indicating a neutral sentiment.",llama2
2013,lol. i lost my moms spare key when he played rose land in 2913(?). had to go without sleep first train in the am to my folks in ct.,Car,Negative,Lost spare key and had to take first train to CT.,mistral
2013,lol. i lost my moms spare key when he played rose land in 2913(?). had to go without sleep first train in the am to my folks in ct.,Unknown,,,openai
2014,i know but work from home and and have not had that daily subway station furnace blast to acclimate over time to the warmer weather,Subway,Neutral,The writer is grateful for the opportunity to work from home and avoid the daily subway commute.,llama2
2014,i know but work from home and and have not had that daily subway station furnace blast to acclimate over time to the warmer weather,Subway,Neutral,The tweet is neutral and does not express a sentiment.,mistral
2014,i know but work from home and and have not had that daily subway station furnace blast to acclimate over time to the warmer weather,Subway,Negative,The daily subway station furnace blast was unpleasant.,openai
2015,oh hell nah... new york has a lot of roaches.. especially in the summer time. the rats in the train are like cats too. sooo https: and and t.co and olwmcmm5dy,Unknown,,,llama2
2015,oh hell nah... new york has a lot of roaches.. especially in the summer time. the rats in the train are like cats too. sooo https: and and t.co and olwmcmm5dy,Subway,Negative,The tweet expresses a negative sentiment about the presence of roaches and rats in New York City.,mistral
2015,oh hell nah... new york has a lot of roaches.. especially in the summer time. the rats in the train are like cats too. sooo https: and and t.co and olwmcmm5dy,Subway,Negative,"The tweet mentions roaches and rats in the train, indicating a negative sentiment.",openai
2016,sorry to ask is being miserable a criteria to be employed by the mta? almost every mta employee is miserable and angry,Unknown,Negative,The tweet suggests that MTA employees are generally unhappy with their jobs.,llama2
2016,sorry to ask is being miserable a criteria to be employed by the mta? almost every mta employee is miserable and angry,Subway,Negative,The MTA employees are miserable and angry.,mistral
2016,sorry to ask is being miserable a criteria to be employed by the mta? almost every mta employee is miserable and angry,Unknown,Negative,MTA employees are portrayed as miserable and angry.,openai
2017,"you sure? a q train has come and gone, but no sign of the n...",Subway,Negative,"The tweet suggests that the N train is delayed or missing, causing frustration.",llama2
2017,"you sure? a q train has come and gone, but no sign of the n...",Subway,Negative,The subway service was delayed and the train was not present.,mistral
2017,"you sure? a q train has come and gone, but no sign of the n...",Subway,Negative,No sign of the N train after a Q train has passed.,openai
2018,when is the next astoria bound n and w train coming by way of union square?,Subway,Positive,"The tweet is asking for information about the next Astoria-bound N and W train coming through Union Square, indicating a positive sentiment towards the subway system.",llama2
2018,when is the next astoria bound n and w train coming by way of union square?,Subway,Neutral,The tweet is asking for information about the next Astoria bound N and W train coming by way of Union Square.,mistral
2018,when is the next astoria bound n and w train coming by way of union square?,Subway,Neutral,Asking for the next train schedule.,openai
2019,as long as i am a essential worker i am not paying for nobodies train,Subway,Negative,The tweet expresses dissatisfaction towards paying for public transportation.,llama2
2019,as long as i am a essential worker i am not paying for nobodies train,Subway,Negative,The tweet expresses frustration about paying for public transportation while being an essential worker.,mistral
2019,as long as i am a essential worker i am not paying for nobodies train,Subway,Negative,Refuses to pay for someone else's train ride.,openai
2020,until you are the one to get punched in the subway.,Subway,Negative,The tweet expresses a negative sentiment towards the idea of getting punched in the subway.,llama2
2020,until you are the one to get punched in the subway.,Subway,Negative,The tweet expresses a negative sentiment towards the subway due to a personal experience of being punched.,mistral
2020,until you are the one to get punched in the subway.,Subway,Negative,Mention of being punched in the subway.,openai
2021,every time my moms and i would hit fordham rd i always had to get one no matter how soon the train was pulling up laugh https: and and t.co and pglnobhjia,Unknown,Positive,"The tweet mentions laughing about getting a hot dog every time they passed Fordham Road, indicating a positive sentiment.",llama2
2021,every time my moms and i would hit fordham rd i always had to get one no matter how soon the train was pulling up laugh https: and and t.co and pglnobhjia,Subway,Positive,The tweet is about a funny experience with the subway.,mistral
2021,every time my moms and i would hit fordham rd i always had to get one no matter how soon the train was pulling up laugh https: and and t.co and pglnobhjia,Subway,Positive,The speaker was excited to take the subway.,openai
2022,"that is right, has something called ""the floating goat"" in its fleet. i have now lost all interest in the subway.",Subway,Negative,"The mention of a ""floating goat"" in the subway's fleet is humorous and unexpected, leading to a negative sentiment.",llama2
2022,"that is right, has something called ""the floating goat"" in its fleet. i have now lost all interest in the subway.",Subway,Negative,"The subway lost interest due to the ""floating goat"" in its fleet.",mistral
2022,"that is right, has something called ""the floating goat"" in its fleet. i have now lost all interest in the subway.",Subway,Negative,"Lost interest in the subway due to the presence of a ""floating goat"".",openai
2023,ok. the rosie perez subway mask message needs to have some sort of acclimating sound for people who have problems wi sudden!!!,Subway,Positive,The tweet is suggesting a feature for the Rosie Perez subway mask that would help people adjust to sudden sounds.,llama2
2023,ok. the rosie perez subway mask message needs to have some sort of acclimating sound for people who have problems wi sudden!!!,Subway,Negative,The sudden mask message on the subway is causing problems for people with certain conditions.,mistral
2023,ok. the rosie perez subway mask message needs to have some sort of acclimating sound for people who have problems wi sudden!!!,Subway,Negative,Criticizing the lack of sound for people with sudden problems.,openai
2024,solo ridin' mtanyctransit mta subway 28th st https: and and t.co and 4aj0b5usox,Subway,Neutral,"The tweet contains a mix of hashtags and words related to public transportation, indicating a neutral sentiment.",llama2
2024,solo ridin' mtanyctransit mta subway 28th st https: and and t.co and 4aj0b5usox,Subway,Positive,The tweet is about solo riding the MTA subway on the 28th street line.,mistral
2024,solo ridin' mtanyctransit mta subway 28th st https: and and t.co and 4aj0b5usox,Subway,Neutral,Tweet does not express sentiment about subway.,openai
2025,i am never taking the train again,Subway,Negative,The speaker is expressing frustration with taking the train again.,llama2
2025,i am never taking the train again,Subway,Negative,The person had a bad experience with the train and is unlikely to use it again.,mistral
2025,i am never taking the train again,Unknown,,,openai
2026,"i am at mta nyct q12, mtabus qm3, nice bus n20g (northern blvd and bell blvd) in bayside, ny https: and and t.co and pandsq7tcz",Bus,Neutral,The tweet mentions the MTA bus and train schedules in a neutral tone.,llama2
2026,"i am at mta nyct q12, mtabus qm3, nice bus n20g (northern blvd and bell blvd) in bayside, ny https: and and t.co and pandsq7tcz",Bus,Positive,The bus service was well maintained and on time.,mistral
2026,"i am at mta nyct q12, mtabus qm3, nice bus n20g (northern blvd and bell blvd) in bayside, ny https: and and t.co and pandsq7tcz",Bus,Neutral,Mentioned MTA bus and Nice Bus routes.,openai
2027,here is a little tip to mta stop screaming on the microphone like it is the old newyork,Unknown,Neutral,The tweet does not mention any mode of travel.,llama2
2027,here is a little tip to mta stop screaming on the microphone like it is the old newyork,Subway,Negative,The subway microphone is too loud and annoying.,mistral
2027,here is a little tip to mta stop screaming on the microphone like it is the old newyork,Unknown,Negative,Criticizes MTA for being too loud.,openai
2028,you are in park slope. that train left station awhile ago.,Subway,Neutral,"The tweet indicates that the train has already left the station, implying that the user is waiting for it.",llama2
2028,you are in park slope. that train left station awhile ago.,Subway,Negative,The train left the station before the person arrived.,mistral
2028,you are in park slope. that train left station awhile ago.,Subway,Negative,The train has already left the station.,openai
2029,"i am at mta subway atlantic ave and barclays center (b and d and n and q and are and 2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and oc2fot8yna",Subway,Positive,"The tweet mentions the MTA subway lines and the location in Brooklyn, indicating a positive sentiment.",llama2
2029,"i am at mta subway atlantic ave and barclays center (b and d and n and q and are and 2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and oc2fot8yna",Subway,Neutral,The tweet is about a specific location on the subway in Brooklyn.,mistral
2029,"i am at mta subway atlantic ave and barclays center (b and d and n and q and are and 2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and oc2fot8yna",Subway,Neutral,Mentioned being at a subway station.,openai
2030,"i am at mta subway 14th st and union square (4 and 5 and 6 and l and n and q and are and w) in new york, ny https: and and t.co and h2kzssfmsq",Subway,Positive,The tweet mentions the location of a subway station in New York City.,llama2
2030,"i am at mta subway 14th st and union square (4 and 5 and 6 and l and n and q and are and w) in new york, ny https: and and t.co and h2kzssfmsq",Subway,Neutral,The tweet contains a list of subway lines and stops.,mistral
2030,"i am at mta subway 14th st and union square (4 and 5 and 6 and l and n and q and are and w) in new york, ny https: and and t.co and h2kzssfmsq",Subway,Neutral,Mentioning a subway station without sentiment.,openai
2031,i do not miss being so tired from working all those odd jobs that i fell asleep on the train.,Subway,Neutral,The tweet expresses relief at no longer feeling tired from working multiple jobs.,llama2
2031,i do not miss being so tired from working all those odd jobs that i fell asleep on the train.,Subway,Negative,The person feels tired from working odd jobs and falling asleep on the train.,mistral
2031,i do not miss being so tired from working all those odd jobs that i fell asleep on the train.,Unknown,,,openai
2032,"just stared down a rat on the subway platform....nature is healing, etc etc",Subway,Positive,The speaker encountered a rat on the subway platform and found it amusing.,llama2
2032,"just stared down a rat on the subway platform....nature is healing, etc etc",Subway,Positive,The encounter with the rat was a reminder of nature's healing power.,mistral
2032,"just stared down a rat on the subway platform....nature is healing, etc etc",Subway,Negative,"Saw a rat on the subway platform, which is unpleasant.",openai
2033,the prettiest women sit next to me on the train and i be scared to breathe let alone speak,Subway,Negative,The writer is intimidated by attractive women on the train.,llama2
2033,the prettiest women sit next to me on the train and i be scared to breathe let alone speak,Subway,Negative,The speaker is scared to speak to a pretty woman on the train.,mistral
2033,the prettiest women sit next to me on the train and i be scared to breathe let alone speak,Unknown,,,openai
2034,the conductor stopped the train and said be right back ummm sir..?,Subway,Neutral,The conductor's statement was neutral and didn't convey any particular emotion.,llama2
2034,the conductor stopped the train and said be right back ummm sir..?,Subway,Negative,The subway train stopped suddenly and the conductor asked for the passenger's ID.,mistral
2034,the conductor stopped the train and said be right back ummm sir..?,Subway,Neutral,The conductor stopped the train without explanation.,openai
2035,manspread on the train and made the guy next to me sit like a little bitch,Subway,Negative,The tweet uses derogatory language towards someone on the train.,llama2
2035,manspread on the train and made the guy next to me sit like a little bitch,Subway,Negative,The person was being rude by taking up too much space on the train.,mistral
2035,manspread on the train and made the guy next to me sit like a little bitch,Subway,Negative,The speaker was rude and inconsiderate of the other person.,openai
2036,"just wait until that train destroys all hopes of reinstating buddhist theocracy, and then tell me you want the same thing for chicago",Unknown,Negative,The tweet expresses frustration and negativity towards the idea of a train destroying hopes for a Buddhist theocracy.,llama2
2036,"just wait until that train destroys all hopes of reinstating buddhist theocracy, and then tell me you want the same thing for chicago",Unknown,Negative,The tweet is negative and expresses a desire for a theocratic government in Chicago.,mistral
2036,"just wait until that train destroys all hopes of reinstating buddhist theocracy, and then tell me you want the same thing for chicago",Unknown,,,openai
2037,"i am at mta subway 14th st (a and c and e and l) in new york, ny https: and and t.co and 3hmzdnyrpi",Subway,Positive,The tweet is mentioning the location of a subway station in New York City.,llama2
2037,"i am at mta subway 14th st (a and c and e and l) in new york, ny https: and and t.co and 3hmzdnyrpi",Subway,Neutral,The tweet is just sharing the location of the subway station.,mistral
2037,"i am at mta subway 14th st (a and c and e and l) in new york, ny https: and and t.co and 3hmzdnyrpi",Subway,Neutral,Mentioned being at an MTA subway station.,openai
2038,"just remember, when the _ _ _ _ is that good you will be acting like a teenager on the 6 train. https: and and t.co and j63nkojm0j",Subway,Positive,The tweet suggests that the subway is good enough to make people act like teenagers.,llama2
2038,"just remember, when the _ _ _ _ is that good you will be acting like a teenager on the 6 train. https: and and t.co and j63nkojm0j",Subway,Negative,"The subway service was not good, causing the person to act like a teenager.",mistral
2038,"just remember, when the _ _ _ _ is that good you will be acting like a teenager on the 6 train. https: and and t.co and j63nkojm0j",Subway,Positive,The 6 train is making people feel young and excited.,openai
2039,"i am at mta subway fulton st (a and c and j and z and 2 and 3 and 4 and 5) in new york, ny https: and and t.co and ipj5to2quz",Subway,Positive,The tweet mentions the location of a subway station in New York City.,llama2
2039,"i am at mta subway fulton st (a and c and j and z and 2 and 3 and 4 and 5) in new york, ny https: and and t.co and ipj5to2quz",Subway,Neutral,The tweet is just a location tag.,mistral
2039,"i am at mta subway fulton st (a and c and j and z and 2 and 3 and 4 and 5) in new york, ny https: and and t.co and ipj5to2quz",Subway,Neutral,Mentioned being at an MTA subway station.,openai
2040,"i think some train crews are finding the option of calling the njtpd to be futile. a crew member on my morning train told me that the last time they called the police, it took 25 minutes to get a response. it did not sound like they would be eager to do it again.",Subway,Negative,The train crew is frustrated with the police response time.,llama2
2040,"i think some train crews are finding the option of calling the njtpd to be futile. a crew member on my morning train told me that the last time they called the police, it took 25 minutes to get a response. it did not sound like they would be eager to do it again.",Subway,Negative,The response time for calling the police was slow.,mistral
2040,"i think some train crews are finding the option of calling the njtpd to be futile. a crew member on my morning train told me that the last time they called the police, it took 25 minutes to get a response. it did not sound like they would be eager to do it again.",Unknown,,,openai
2041,i cannot wait to get off this train and rollerskate tonight,Bike,Positive,Excited to engage in a fun activity after being on a train.,llama2
2041,i cannot wait to get off this train and rollerskate tonight,Unknown,Positive,The person is excited to rollerskate tonight.,mistral
2041,i cannot wait to get off this train and rollerskate tonight,Unknown,,,openai
2042,just saw a man offer his girlfriend his hand to simply stand up from the subway seat and i am just cynical enough that i groaned,Subway,Negative,The speaker groaned at the gesture of the man offering his hand to his girlfriend.,llama2
2042,just saw a man offer his girlfriend his hand to simply stand up from the subway seat and i am just cynical enough that i groaned,Subway,Negative,The speaker is cynical about the gesture.,mistral
2042,just saw a man offer his girlfriend his hand to simply stand up from the subway seat and i am just cynical enough that i groaned,Subway,Negative,The speaker was cynical about the romantic gesture.,openai
2043,"i am at mta subway eastern parkway and brooklyn museum (2 and 3) in brooklyn, ny https: and and t.co and 43vywipxdn",Subway,Positive,"The tweet mentions being at the Eastern Parkway and Brooklyn Museum subway stations, indicating a positive sentiment towards subway travel.",llama2
2043,"i am at mta subway eastern parkway and brooklyn museum (2 and 3) in brooklyn, ny https: and and t.co and 43vywipxdn",Subway,Neutral,The tweet is just sharing a location.,mistral
2043,"i am at mta subway eastern parkway and brooklyn museum (2 and 3) in brooklyn, ny https: and and t.co and 43vywipxdn",Subway,Neutral,Mentioned being at a subway station.,openai
2044,if you got got a pretty hot and tempting ass you probably been looking for me to spread while you are so close oh my god where is this subway,Subway,Negative,"The tweet is inappropriate and offensive, using language that is sexual and disrespectful.",llama2
2044,if you got got a pretty hot and tempting ass you probably been looking for me to spread while you are so close oh my god where is this subway,Subway,Negative,The tweet is inappropriate and offensive.,mistral
2044,if you got got a pretty hot and tempting ass you probably been looking for me to spread while you are so close oh my god where is this subway,Subway,Neutral,Tweet does not express sentiment about subway.,openai
2045,"i am at mta subway 63rd dr and rego park (m and r) in rego park, ny https: and and t.co and ekzbnbfm10",Subway,Positive,The tweet includes the location of a subway station and the sentiment is positive.,llama2
2045,"i am at mta subway 63rd dr and rego park (m and r) in rego park, ny https: and and t.co and ekzbnbfm10",Subway,Neutral,The tweet is about a specific location on the subway.,mistral
2045,"i am at mta subway 63rd dr and rego park (m and r) in rego park, ny https: and and t.co and ekzbnbfm10",Subway,Neutral,Mentioned being at a subway station.,openai
2046,it only rained hard today during the time i walked from the subway to the office.,Subway,Neutral,"The tweet mentions only raining during the time the person walked from the subway to the office, indicating a neutral sentiment.",llama2
2046,it only rained hard today during the time i walked from the subway to the office.,Subway,Negative,The rain made the walk from the subway to the office uncomfortable.,mistral
2046,it only rained hard today during the time i walked from the subway to the office.,Subway,Negative,Raining hard during the walk from the subway.,openai
2047,"( mta subway 28th st (1) in new york, ny) https: and and t.co and hvck4ui4ug",Subway,Neutral,"The tweet contains a URL and hashtags, indicating a neutral sentiment.",llama2
2047,"( mta subway 28th st (1) in new york, ny) https: and and t.co and hvck4ui4ug",Subway,Positive,The tweet is about the MTA subway service on 28th Street in New York City.,mistral
2047,"( mta subway 28th st (1) in new york, ny) https: and and t.co and hvck4ui4ug",Subway,Neutral,No sentiment expressed about the subway.,openai
2048,"is it controversial to suggest that those using apple pay type services for subway in nyc pay just a tiny bit extra (5c and 10c) extra to help raise money for an already cash strapped network, especially when compared to day london our prices are so low?",Subway,Neutral,The tweet suggests a potential solution to raise funds for the NYC subway system without expressing a strong positive or negative sentiment.,llama2
2048,"is it controversial to suggest that those using apple pay type services for subway in nyc pay just a tiny bit extra (5c and 10c) extra to help raise money for an already cash strapped network, especially when compared to day london our prices are so low?",Subway,Negative,The suggestion is controversial because it implies that those using Apple Pay services should pay more than those using cash.,mistral
2048,"is it controversial to suggest that those using apple pay type services for subway in nyc pay just a tiny bit extra (5c and 10c) extra to help raise money for an already cash strapped network, especially when compared to day london our prices are so low?",Subway,Neutral,Suggesting a small fee increase to help fund the subway.,openai
2049,mta buses are really keeping the best and lyft in business. waisting my time and money.,Bus,Negative,"The tweet expresses frustration with MTA buses, implying poor service.",llama2
2049,mta buses are really keeping the best and lyft in business. waisting my time and money.,Bus,Negative,The bus service was not reliable and caused a waste of time and money.,mistral
2049,mta buses are really keeping the best and lyft in business. waisting my time and money.,Bus,Negative,MTA buses are causing frustration and wasting time and money.,openai
2050,thoughts and prayers to everyone waiting 20 minutes for the grin train at nassau av in greenpoint after that poland loss,Subway,Negative,The delay in the G train caused frustration and disappointment.,llama2
2050,thoughts and prayers to everyone waiting 20 minutes for the grin train at nassau av in greenpoint after that poland loss,Subway,Negative,The subway was delayed due to the loss of the Poland game.,mistral
2050,thoughts and prayers to everyone waiting 20 minutes for the grin train at nassau av in greenpoint after that poland loss,Subway,Negative,The subway was delayed due to a Poland loss.,openai
2051,"i still think back to the first time i did the no pants subway ride, and saw this cute guy geared up in pokemon underwear and the classic ash ketchum top. honestly missed my chance back then.",Subway,Positive,The tweet is reminiscing about a past experience on the subway.,llama2
2051,"i still think back to the first time i did the no pants subway ride, and saw this cute guy geared up in pokemon underwear and the classic ash ketchum top. honestly missed my chance back then.",Subway,Positive,The tweet is about a positive experience of seeing someone dressed in Pokemon underwear on the subway.,mistral
2051,"i still think back to the first time i did the no pants subway ride, and saw this cute guy geared up in pokemon underwear and the classic ash ketchum top. honestly missed my chance back then.",Subway,Neutral,Recalling a funny experience on the subway.,openai
2052,i know mta did not spend my taxes on tvs inside the trains. it is giving pimp my ride. https: and and t.co and qereal7xqy,Unknown,Positive,"The tweet is positive about the MTA's actions, mentioning that they did not spend taxes on TVs inside trains.",llama2
2052,i know mta did not spend my taxes on tvs inside the trains. it is giving pimp my ride. https: and and t.co and qereal7xqy,Subway,Negative,The subway did not spend taxes on TVs inside the trains.,mistral
2052,i know mta did not spend my taxes on tvs inside the trains. it is giving pimp my ride. https: and and t.co and qereal7xqy,Subway,Negative,MTA did not use taxes to improve the subway experience.,openai
2053,someone cosplaying dream in this subway station help me,Subway,Positive,"Someone is cosplaying in the subway station, which is a positive and interesting sight.",llama2
2053,someone cosplaying dream in this subway station help me,Subway,Neutral,The tweet is asking for help with cosplaying in a subway station.,mistral
2053,someone cosplaying dream in this subway station help me,Subway,Neutral,Mention of someone cosplaying in a subway station.,openai
2054,"he asked to go through my bag. i said, ""no."" we crossed over to the police stationed at the subway and i showed the officer my receipt.",Subway,Positive,The person was able to show a receipt to a police officer at a subway station to prove their identity.,llama2
2054,"he asked to go through my bag. i said, ""no."" we crossed over to the police stationed at the subway and i showed the officer my receipt.",Subway,Negative,The person asked to go through the bag and the person refused.,mistral
2054,"he asked to go through my bag. i said, ""no."" we crossed over to the police stationed at the subway and i showed the officer my receipt.",Subway,Neutral,"The person asked to go through the bag, but was denied.",openai
2055,"this old man beside me on the platform was just humming barney's ""i love you"" pitched down and it was the eeriest thing. glad my train just pulled up because...",Subway,Neutral,The tweet mentions an eerie experience on the subway platform.,llama2
2055,"this old man beside me on the platform was just humming barney's ""i love you"" pitched down and it was the eeriest thing. glad my train just pulled up because...",Subway,Negative,The eerie humming of the old man on the platform was unsettling.,mistral
2055,"this old man beside me on the platform was just humming barney's ""i love you"" pitched down and it was the eeriest thing. glad my train just pulled up because...",Subway,Negative,The old man was humming an eerie song on the platform.,openai
2056,"same thing happened to me. i could not believe it. thinking it was a neighbor behind me saying, ""do not run!"", i turned around laughing thinking he too was trying to catch the light to enter the subway. once i realized it was the guy from the mkt, i was puzzled.",Subway,Neutral,The tweet is neutral as it describes a confusing situation that happened to the author while taking the subway.,llama2
2056,"same thing happened to me. i could not believe it. thinking it was a neighbor behind me saying, ""do not run!"", i turned around laughing thinking he too was trying to catch the light to enter the subway. once i realized it was the guy from the mkt, i was puzzled.",Subway,Positive,The person in the Mkt was trying to catch the light to enter the subway.,mistral
2056,"same thing happened to me. i could not believe it. thinking it was a neighbor behind me saying, ""do not run!"", i turned around laughing thinking he too was trying to catch the light to enter the subway. once i realized it was the guy from the mkt, i was puzzled.",Subway,Neutral,The tweet does not express a sentiment about the subway.,openai
2057,i am from nyc and that is definitely one of our subway stations in lower manhattan and it is driving me bats that i cannot place it,Subway,Negative,The user is frustrated that they cannot identify the subway station they are thinking of.,llama2
2057,i am from nyc and that is definitely one of our subway stations in lower manhattan and it is driving me bats that i cannot place it,Subway,Negative,The subway station in lower Manhattan is difficult to identify.,mistral
2057,i am from nyc and that is definitely one of our subway stations in lower manhattan and it is driving me bats that i cannot place it,Subway,Negative,Frustration at not being able to identify a subway station.,openai
2058,"seattle transit has its benefits without a doubt. now here in ny, if i worked at jfk, it would be $400+ and month train plus subway and air train and take about 3hrs. plus parking at station. it needs work",Unknown,Negative,The author expresses frustration with the transportation system in New York City.,llama2
2058,"seattle transit has its benefits without a doubt. now here in ny, if i worked at jfk, it would be $400+ and month train plus subway and air train and take about 3hrs. plus parking at station. it needs work",Unknown,,,mistral
2058,"seattle transit has its benefits without a doubt. now here in ny, if i worked at jfk, it would be $400+ and month train plus subway and air train and take about 3hrs. plus parking at station. it needs work",Unknown,,,openai
2059,"( mta subway are train in new york, ny) https: and and t.co and pdrfaecfhr",Subway,Positive,The tweet contains a link to an article about the MTA subway and train services in New York City.,llama2
2059,"( mta subway are train in new york, ny) https: and and t.co and pdrfaecfhr",Subway,Positive,The tweet is about the MTA subway in New York City.,mistral
2059,"( mta subway are train in new york, ny) https: and and t.co and pdrfaecfhr",Subway,Neutral,No sentiment expressed about MTA Subway.,openai
2060,"the new york city police has their civilian team shoving their phones in my face on the sidewalk, subway, and in stores. https: and and t.co and qhralfod0b",Unknown,Negative,The NYPD's civilian team is harassing people by asking for their phones.,llama2
2060,"the new york city police has their civilian team shoving their phones in my face on the sidewalk, subway, and in stores. https: and and t.co and qhralfod0b",Subway,Negative,The police were shoving their phones in the person's face.,mistral
