Unnamed: 0,GLOBAL_ID,LOCAL_ID,processed_txt,date,_date_,WoY,travel_mode,sentiment,reasoning
2010,2010,4024,running for the subway is never worth it. not only do they never wait for you but you end up sweating your ass off all day,2020-07-23 09:41:11+00:00,2020-07-23,2020-29,Subway,Negative,The speaker feels that running for the subway is not worth it due to the lack of wait time and excessive sweating.
2011,2011,4027,cleared: incident on at hoboken path station,2020-07-23 06:51:57+00:00,2020-07-23,2020-29,Subway,Neutral,The tweet simply states that an incident has been cleared at a subway station.
2012,2012,4028,cleared: incident on at hoboken path station,2020-07-23 06:51:57+00:00,2020-07-23,2020-29,Subway,Neutral,"The tweet mentions that the incident at Hoboken Path Station has been cleared, indicating that the subway service is running smoothly."
2013,2013,4029,lol. i lost my moms spare key when he played rose land in 2913(?). had to go without sleep first train in the am to my folks in ct.,2020-07-23 06:49:35+00:00,2020-07-23,2020-29,Unknown,Neutral,"The tweet mentions a lost key and a train journey without sleep, indicating a neutral sentiment."
2014,2014,4032,i know but work from home and and have not had that daily subway station furnace blast to acclimate over time to the warmer weather,2020-07-23 05:23:45+00:00,2020-07-23,2020-29,Subway,Neutral,The writer is grateful for the opportunity to work from home and avoid the daily subway commute.
2015,2015,4034,oh hell nah... new york has a lot of roaches.. especially in the summer time. the rats in the train are like cats too. sooo https: and and t.co and olwmcmm5dy,2020-07-23 04:56:32+00:00,2020-07-23,2020-29,Unknown,,
2016,2016,4035,sorry to ask is being miserable a criteria to be employed by the mta? almost every mta employee is miserable and angry,2020-07-23 04:55:14+00:00,2020-07-23,2020-29,Unknown,Negative,The tweet suggests that MTA employees are generally unhappy with their jobs.
2017,2017,4036,"you sure? a q train has come and gone, but no sign of the n...",2020-07-23 04:47:00+00:00,2020-07-23,2020-29,Subway,Negative,"The tweet suggests that the N train is delayed or missing, causing frustration."
2018,2018,4037,when is the next astoria bound n and w train coming by way of union square?,2020-07-23 04:30:19+00:00,2020-07-23,2020-29,Subway,Positive,"The tweet is asking for information about the next Astoria-bound N and W train coming through Union Square, indicating a positive sentiment towards the subway system."
2019,2019,4038,as long as i am a essential worker i am not paying for nobodies train,2020-07-23 04:20:20+00:00,2020-07-23,2020-29,Subway,Negative,The tweet expresses dissatisfaction towards paying for public transportation.
2020,2020,4040,until you are the one to get punched in the subway.,2020-07-23 03:47:18+00:00,2020-07-23,2020-29,Subway,Negative,The tweet expresses a negative sentiment towards the idea of getting punched in the subway.
2021,2021,4042,every time my moms and i would hit fordham rd i always had to get one no matter how soon the train was pulling up laugh https: and and t.co and pglnobhjia,2020-07-23 02:40:52+00:00,2020-07-23,2020-29,Unknown,Positive,"The tweet mentions laughing about getting a hot dog every time they passed Fordham Road, indicating a positive sentiment."
2022,2022,4044,"that is right, has something called ""the floating goat"" in its fleet. i have now lost all interest in the subway.",2020-07-23 02:21:33+00:00,2020-07-23,2020-29,Subway,Negative,"The mention of a ""floating goat"" in the subway's fleet is humorous and unexpected, leading to a negative sentiment."
2023,2023,4047,ok. the rosie perez subway mask message needs to have some sort of acclimating sound for people who have problems wi sudden!!!,2020-07-23 01:47:54+00:00,2020-07-23,2020-29,Subway,Positive,The tweet is suggesting a feature for the Rosie Perez subway mask that would help people adjust to sudden sounds.
2024,2024,4049,solo ridin' mtanyctransit mta subway 28th st https: and and t.co and 4aj0b5usox,2020-07-23 01:44:35+00:00,2020-07-23,2020-29,Subway,Neutral,"The tweet contains a mix of hashtags and words related to public transportation, indicating a neutral sentiment."
2025,2025,4053,i am never taking the train again,2020-07-23 00:43:49+00:00,2020-07-23,2020-29,Subway,Negative,The speaker is expressing frustration with taking the train again.
2026,2026,4056,"i am at mta nyct q12, mtabus qm3, nice bus n20g (northern blvd and bell blvd) in bayside, ny https: and and t.co and pandsq7tcz",2020-07-23 00:21:53+00:00,2020-07-23,2020-29,Bus,Neutral,The tweet mentions the MTA bus and train schedules in a neutral tone.
2027,2027,4060,here is a little tip to mta stop screaming on the microphone like it is the old newyork,2021-06-14 23:34:47+00:00,2021-06-14,2021-24,Unknown,Neutral,The tweet does not mention any mode of travel.
2028,2028,4065,you are in park slope. that train left station awhile ago.,2021-06-14 23:22:12+00:00,2021-06-14,2021-24,Subway,Neutral,"The tweet indicates that the train has already left the station, implying that the user is waiting for it."
2029,2029,4066,"i am at mta subway atlantic ave and barclays center (b and d and n and q and are and 2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and oc2fot8yna",2021-06-14 23:21:24+00:00,2021-06-14,2021-24,Subway,Positive,"The tweet mentions the MTA subway lines and the location in Brooklyn, indicating a positive sentiment."
2030,2030,4069,"i am at mta subway 14th st and union square (4 and 5 and 6 and l and n and q and are and w) in new york, ny https: and and t.co and h2kzssfmsq",2021-06-14 22:54:01+00:00,2021-06-14,2021-24,Subway,Positive,The tweet mentions the location of a subway station in New York City.
2031,2031,4070,i do not miss being so tired from working all those odd jobs that i fell asleep on the train.,2021-06-14 22:51:31+00:00,2021-06-14,2021-24,Subway,Neutral,The tweet expresses relief at no longer feeling tired from working multiple jobs.
2032,2032,4072,"just stared down a rat on the subway platform....nature is healing, etc etc",2021-06-14 22:48:51+00:00,2021-06-14,2021-24,Subway,Positive,The speaker encountered a rat on the subway platform and found it amusing.
2033,2033,4073,the prettiest women sit next to me on the train and i be scared to breathe let alone speak,2021-06-14 22:46:32+00:00,2021-06-14,2021-24,Subway,Negative,The writer is intimidated by attractive women on the train.
2034,2034,4074,the conductor stopped the train and said be right back ummm sir..?,2021-06-14 22:41:53+00:00,2021-06-14,2021-24,Subway,Neutral,The conductor's statement was neutral and didn't convey any particular emotion.
2035,2035,4076,manspread on the train and made the guy next to me sit like a little bitch,2021-06-14 22:25:30+00:00,2021-06-14,2021-24,Subway,Negative,The tweet uses derogatory language towards someone on the train.
2036,2036,4078,"just wait until that train destroys all hopes of reinstating buddhist theocracy, and then tell me you want the same thing for chicago",2021-06-14 21:39:14+00:00,2021-06-14,2021-24,Unknown,Negative,The tweet expresses frustration and negativity towards the idea of a train destroying hopes for a Buddhist theocracy.
2037,2037,4079,"i am at mta subway 14th st (a and c and e and l) in new york, ny https: and and t.co and 3hmzdnyrpi",2021-06-14 21:30:49+00:00,2021-06-14,2021-24,Subway,Positive,The tweet is mentioning the location of a subway station in New York City.
2038,2038,4080,"just remember, when the _ _ _ _ is that good you will be acting like a teenager on the 6 train. https: and and t.co and j63nkojm0j",2021-06-14 21:23:40+00:00,2021-06-14,2021-24,Subway,Positive,The tweet suggests that the subway is good enough to make people act like teenagers.
2039,2039,4081,"i am at mta subway fulton st (a and c and j and z and 2 and 3 and 4 and 5) in new york, ny https: and and t.co and ipj5to2quz",2021-06-14 21:18:04+00:00,2021-06-14,2021-24,Subway,Positive,The tweet mentions the location of a subway station in New York City.
2040,2040,4082,"i think some train crews are finding the option of calling the njtpd to be futile. a crew member on my morning train told me that the last time they called the police, it took 25 minutes to get a response. it did not sound like they would be eager to do it again.",2021-06-14 21:16:13+00:00,2021-06-14,2021-24,Subway,Negative,The train crew is frustrated with the police response time.
2041,2041,4083,i cannot wait to get off this train and rollerskate tonight,2021-06-14 21:14:35+00:00,2021-06-14,2021-24,Bike,Positive,Excited to engage in a fun activity after being on a train.
2042,2042,4084,just saw a man offer his girlfriend his hand to simply stand up from the subway seat and i am just cynical enough that i groaned,2021-06-14 21:11:43+00:00,2021-06-14,2021-24,Subway,Negative,The speaker groaned at the gesture of the man offering his hand to his girlfriend.
2043,2043,4085,"i am at mta subway eastern parkway and brooklyn museum (2 and 3) in brooklyn, ny https: and and t.co and 43vywipxdn",2021-06-14 20:56:00+00:00,2021-06-14,2021-24,Subway,Positive,"The tweet mentions being at the Eastern Parkway and Brooklyn Museum subway stations, indicating a positive sentiment towards subway travel."
2044,2044,4086,if you got got a pretty hot and tempting ass you probably been looking for me to spread while you are so close oh my god where is this subway,2021-06-14 20:28:50+00:00,2021-06-14,2021-24,Subway,Negative,"The tweet is inappropriate and offensive, using language that is sexual and disrespectful."
2045,2045,4087,"i am at mta subway 63rd dr and rego park (m and r) in rego park, ny https: and and t.co and ekzbnbfm10",2021-06-14 20:23:09+00:00,2021-06-14,2021-24,Subway,Positive,The tweet includes the location of a subway station and the sentiment is positive.
2046,2046,4093,it only rained hard today during the time i walked from the subway to the office.,2021-06-14 20:05:44+00:00,2021-06-14,2021-24,Subway,Neutral,"The tweet mentions only raining during the time the person walked from the subway to the office, indicating a neutral sentiment."
2047,2047,4098,"( mta subway 28th st (1) in new york, ny) https: and and t.co and hvck4ui4ug",2021-06-14 18:47:49+00:00,2021-06-14,2021-24,Subway,Neutral,"The tweet contains a URL and hashtags, indicating a neutral sentiment."
2048,2048,4099,"is it controversial to suggest that those using apple pay type services for subway in nyc pay just a tiny bit extra (5c and 10c) extra to help raise money for an already cash strapped network, especially when compared to day london our prices are so low?",2021-06-14 18:11:13+00:00,2021-06-14,2021-24,Subway,Neutral,The tweet suggests a potential solution to raise funds for the NYC subway system without expressing a strong positive or negative sentiment.
2049,2049,4100,mta buses are really keeping the best and lyft in business. waisting my time and money.,2021-06-14 17:55:26+00:00,2021-06-14,2021-24,Bus,Negative,"The tweet expresses frustration with MTA buses, implying poor service."
2050,2050,4101,thoughts and prayers to everyone waiting 20 minutes for the grin train at nassau av in greenpoint after that poland loss,2021-06-14 17:54:01+00:00,2021-06-14,2021-24,Subway,Negative,The delay in the G train caused frustration and disappointment.
2051,2051,4102,"i still think back to the first time i did the no pants subway ride, and saw this cute guy geared up in pokemon underwear and the classic ash ketchum top. honestly missed my chance back then.",2021-06-14 17:40:01+00:00,2021-06-14,2021-24,Subway,Positive,The tweet is reminiscing about a past experience on the subway.
2052,2052,4104,i know mta did not spend my taxes on tvs inside the trains. it is giving pimp my ride. https: and and t.co and qereal7xqy,2021-06-14 17:32:48+00:00,2021-06-14,2021-24,Unknown,Positive,"The tweet is positive about the MTA's actions, mentioning that they did not spend taxes on TVs inside trains."
2053,2053,4108,someone cosplaying dream in this subway station help me,2021-06-14 16:48:39+00:00,2021-06-14,2021-24,Subway,Positive,"Someone is cosplaying in the subway station, which is a positive and interesting sight."
2054,2054,4112,"he asked to go through my bag. i said, ""no."" we crossed over to the police stationed at the subway and i showed the officer my receipt.",2021-06-14 16:35:15+00:00,2021-06-14,2021-24,Subway,Positive,The person was able to show a receipt to a police officer at a subway station to prove their identity.
2055,2055,4113,"this old man beside me on the platform was just humming barney's ""i love you"" pitched down and it was the eeriest thing. glad my train just pulled up because...",2021-06-14 16:32:17+00:00,2021-06-14,2021-24,Subway,Neutral,The tweet mentions an eerie experience on the subway platform.
2056,2056,4114,"same thing happened to me. i could not believe it. thinking it was a neighbor behind me saying, ""do not run!"", i turned around laughing thinking he too was trying to catch the light to enter the subway. once i realized it was the guy from the mkt, i was puzzled.",2021-06-14 16:32:02+00:00,2021-06-14,2021-24,Subway,Neutral,The tweet is neutral as it describes a confusing situation that happened to the author while taking the subway.
2057,2057,4116,i am from nyc and that is definitely one of our subway stations in lower manhattan and it is driving me bats that i cannot place it,2021-06-14 16:15:35+00:00,2021-06-14,2021-24,Subway,Negative,The user is frustrated that they cannot identify the subway station they are thinking of.
2058,2058,4117,"seattle transit has its benefits without a doubt. now here in ny, if i worked at jfk, it would be $400+ and month train plus subway and air train and take about 3hrs. plus parking at station. it needs work",2021-06-14 16:08:01+00:00,2021-06-14,2021-24,Unknown,Negative,The author expresses frustration with the transportation system in New York City.
2059,2059,4118,"( mta subway are train in new york, ny) https: and and t.co and pdrfaecfhr",2021-06-14 16:02:58+00:00,2021-06-14,2021-24,Subway,Positive,The tweet contains a link to an article about the MTA subway and train services in New York City.
2060,2060,4120,"the new york city police has their civilian team shoving their phones in my face on the sidewalk, subway, and in stores. https: and and t.co and qhralfod0b",2021-06-14 15:43:05+00:00,2021-06-14,2021-24,Unknown,Negative,The NYPD's civilian team is harassing people by asking for their phones.
2061,2061,4122,"i have been mostly impressed with mask compliance in the past week or two of commuting. i just do not understand why people leave their noses poking out so routinely. also, i would love to see a breakdown by line. my 7 train car now has 100% compliance, when my n car was like 15%.",2021-06-14 15:29:56+00:00,2021-06-14,2021-24,Subway,Positive,The tweet expresses admiration for the majority of people following mask rules on public transportation.
2062,2062,4124,there are maybe twenty people on this train car with me. all are wearing masks. i think three people have masks covering their mouth and nose.,2021-06-14 15:20:12+00:00,2021-06-14,2021-24,Subway,Neutral,"The tweet mentions the number of people wearing masks on a train car, indicating a neutral sentiment."
2063,2063,4126,"filth and feces, report finds increase in dirty subway cars... https: and and t.co and n5qlm9ul6a",2021-06-14 15:11:19+00:00,2021-06-14,2021-24,Subway,Negative,"The tweet mentions an increase in dirty subway cars, indicating a negative sentiment."
2064,2064,4128,"i have got nothing but the absolute utmost respect and awe for the folks slinging coffee at starbucks to the stressed out mob in moynihan train station this morning. singing, getting orders right, patient... amazing people.",2021-06-14 14:34:49+00:00,2021-06-14,2021-24,Unknown,Positive,The author is in awe of the Starbucks employees at Moynihan Train Station for their patience and service despite a busy and stressed environment.
2065,2065,4129,"i am at moynihan train hall in new york, ny https: and and t.co and pwh6n1qsas",2021-06-14 14:10:22+00:00,2021-06-14,2021-24,Unknown,Neutral,The tweet does not mention any travel mode or sentiment.
2066,2066,4131,"the new nyc mta train comms are interesting this am: ""the next stop is available day 1 on game pass, access is also available on pc and cloud. transfer at no additional cost"".",2021-06-14 14:00:51+00:00,2021-06-14,2021-24,Unknown,Positive,"The tweet is about a new feature for train commuters, indicating a positive sentiment."
2067,2067,4133,this guy just threw food all over the subway car seats for no reason,2021-06-14 13:40:03+00:00,2021-06-14,2021-24,Subway,Negative,The person threw food on the subway car seats without a reason.
2068,2068,4135,"its a bs how they are connecting 5th and 6th aves to the times square complex, but yet have the 8th ave passageway blocked off? note the transfer point between the l train 8th avenue and the 6th avenue line is only between 7th and 6th avenue",2021-06-14 13:24:16+00:00,2021-06-14,2021-24,Subway,Negative,The tweet expresses frustration at the inconvenience caused by the blocked transfer point between the L train and the 6th Avenue line.
2069,2069,4136,nyc subway + apple watch + apple pay = commute bliss,2021-06-14 13:09:47+00:00,2021-06-14,2021-24,Subway,Positive,The tweet expresses happiness with the convenience of using Apple Pay to pay for subway fares while wearing an Apple Watch.
2070,2070,4139,not me taking the subway all the way to jfk like i am a local,2021-06-14 12:32:34+00:00,2021-06-14,2021-24,Subway,Positive,The user is proud of themselves for taking the subway to JFK Airport like a local.
2071,2071,4140,have the air conditioner on the trains if the trains are not leaving the station wtc with a train packed it is so hot . plus there are no announcements.,2021-06-14 12:27:29+00:00,2021-06-14,2021-24,Subway,Negative,The lack of air conditioning in packed trains during hot weather and inadequate announcements are causing discomfort.
2072,2072,4141,"i am at mta subway sutphin blvd and archer ave and jfk (e and j and z) in jamaica, ny https: and and t.co and ko5nhmljua",2021-06-14 12:23:26+00:00,2021-06-14,2021-24,Subway,Positive,The tweet mentions the location of a subway station and uses positive language.
2073,2073,4142,there is a really cute boy next to me on the train should i shoot my shot,2021-06-14 11:59:46+00:00,2021-06-14,2021-24,Subway,Positive,The tweet expresses excitement and hopefulness about the possibility of a romantic encounter.
2074,2074,4144,please can you fix the countdown clock at bay ridge ave? they keep saying the train is 1 2 minutes away when actually train is already in the station and about to depart. clocks have burned me 3 times in a row now,2021-06-14 11:47:59+00:00,2021-06-14,2021-24,Subway,Negative,"The countdown clock at Bay Ridge Avenue is not accurate, causing frustration for commuters."
2075,2075,4145,hi your coo at hoboken is telling everyone that no trains are running when the 33rd street train is running. missed my train my seconds as a result. just fyi.,2021-06-14 11:46:00+00:00,2021-06-14,2021-24,Subway,Negative,"The train operator at Hoboken was giving incorrect information, causing the tweet-writer to miss their train."
2076,2076,4148,it is super easy by train! metro north to croton harmon in under an hour and then it is a ten minute walk from the station .,2021-06-14 11:01:06+00:00,2021-06-14,2021-24,Unknown,,
2077,2077,4149,"three simple things i would like to see nyc do: 1. fix the subway 2. crack down on litter, improve trash cleanup(?) 3. help the homeless more",2021-06-14 10:58:27+00:00,2021-06-14,2021-24,Subway,Negative,The tweet expresses frustration with the subway system and desire for improvement.
2078,2078,4150,still late the q train runs more then the n.,2021-06-14 09:48:35+00:00,2021-06-14,2021-24,Subway,Positive,The speaker believes the Q train runs more frequently than the N train.
2079,2079,4152,n train is late again where are the conductors at stillwell station? https: and and t.co and 2fwcvfmqdi,2021-06-14 09:43:04+00:00,2021-06-14,2021-24,Subway,Negative,The tweet expresses frustration at the late train and lack of conductors at a station.
2080,2080,4153,"i am at mta subway eastern parkway and brooklyn museum (2 and 3) in brooklyn, ny https: and and t.co and 3myzu3ufpq",2021-06-14 09:36:04+00:00,2021-06-14,2021-24,Subway,Positive,"The tweet mentions the location using MTA subway lines and the Brooklyn Museum, indicating a positive experience with public transportation."
2081,2081,4154,"i am at mta subway atlantic ave and barclays center (b and d and n and q and are and 2 and 3 and 4 and 5) in brooklyn, ny https: and and t.co and x8zdc2sal1",2021-06-14 09:26:13+00:00,2021-06-14,2021-24,Subway,Positive,"The tweet mentions the location of the MTA subway station in Brooklyn, indicating a positive sentiment."
2082,2082,4155,so apparently the 3:30 q50 bus did not run today?,2021-06-14 08:09:11+00:00,2021-06-14,2021-24,Bus,Negative,The bus did not run according to the tweet.
2083,2083,4157,been a while since i felt the late night subway commute struggle laugh,2021-06-14 04:40:12+00:00,2021-06-14,2021-24,Subway,Positive,The tweet expresses nostalgia and amusement towards the late-night subway commute struggle.
2084,2084,4162,i am so tired of the mta,2021-06-14 03:06:29+00:00,2021-06-14,2021-24,Subway,Negative,The tweet expresses frustration with the MTA.
2085,2085,4164,"yeah, for sure. i still prefer citibike, the subway, busses and walking, but we have enough street space for these two wheelers too",2021-06-14 02:42:56+00:00,2021-06-14,2021-24,Bike,Positive,The tweeter prefers biking but acknowledges the space for two-wheelers is necessary.
2086,2086,4167,"not to split hairs, but if you took a train to the top of the world, you would be in inwood. (and why ya got to cut off our tshirt like that?!)",2021-06-14 02:07:56+00:00,2021-06-14,2021-24,Subway,Neutral,The tweet is neutral as it is a play on words and doesn't have any negative or positive connotations.
2087,2087,4170,"in the inwood not as catchy, but there is no elevated train . (not to mention they keep talking about the a and it is clearly the 1)",2021-06-14 01:01:29+00:00,2021-06-14,2021-24,Subway,Negative,The speaker is frustrated with the confusion over train lines in their area.
2088,2088,4171,guess that train station stop will be getting a new name soon...,2021-06-14 00:41:11+00:00,2021-06-14,2021-24,Subway,Neutral,"The tweet mentions a new name for a train station stop, indicating a neutral sentiment."
2089,2089,4173,f train headways have been absolute this weekend. even more so than a typical weekend.,2021-06-14 00:24:00+00:00,2021-06-14,2021-24,Subway,Positive,"The F train headways were consistent, even more so than usual."
2090,2090,4174,thank you for the air conditioner on this train,2021-08-11 23:59:55+00:00,2021-08-11,2021-32,Subway,Positive,Grateful for the air conditioning in the train.
2091,2091,4175,would sell my left left for an express 1 train tonight,2021-08-11 23:48:12+00:00,2021-08-11,2021-32,Subway,Positive,The person wants an express train for a faster commute.
2092,2092,4176,"the train was late... i called the ferry from the train and asked them to hold it... she said they would do their best... i was the only one on the van, my driver took every shortcut in the book... and then i ran onto the ferry at 7:33 and they pushed off as soon as i boarded. https: and and t.co and bew2nrupcl",2021-08-11 23:45:16+00:00,2021-08-11,2021-32,Unknown,,
2093,2093,4179,i love the moment of absolute disorientation when you get off a subway stop you have been to 1000 times before and walk the total wrong way and spin around like a character in a movie,2021-08-11 23:23:00+00:00,2021-08-11,2021-32,Subway,Positive,The tweet expresses joy and excitement about the unexpected turn of events.
2094,2094,4180,pretty sure whoever decided to call the a train an express train is a liar,2021-08-11 23:10:52+00:00,2021-08-11,2021-32,Subway,Negative,The tweet expresses frustration towards the labeling of the A train as an express train.
2095,2095,4181,seriously thinking of carrying boxes of face masks with me to hand out to people on the subway. seeing to many people getting on without one.,2021-08-11 23:05:51+00:00,2021-08-11,2021-32,Subway,Positive,Wants to help distribute face masks to people on the subway to protect them from COVID-19.
2096,2096,4183,this is really all needed to get on the nft train,2021-08-11 23:01:19+00:00,2021-08-11,2021-32,Unknown,Neutral,The tweet does not mention any specific mode of travel.
2097,2097,4184,"have you been following the mike's cyber symposium. its time to get off the train and put a stop to communism, watch oan , china and dominion caught in the headlights and cuba needs our help, i do not want to hear from anyone that is not got relatives still there,it is hell!",2021-08-11 22:59:23+00:00,2021-08-11,2021-32,Unknown,Negative,The tweet expresses frustration and anger towards various countries and their political systems.
2098,2098,4185,"thank you, sweated like a maniac today on the subway on the way to meet with my publisher",2021-08-11 22:55:37+00:00,2021-08-11,2021-32,Subway,Positive,"The tweet mentions sweating on the subway, indicating a positive experience."
2099,2099,4186,i still cannot believe it is 2021 and people still is islamophobic... i have never felt unsafe while using the until today! unbelievable...,2021-08-11 22:51:42+00:00,2021-08-11,2021-32,Unknown,Negative,The tweet expresses disappointment and surprise at still experiencing Islamophobia in 2021.
2100,2100,4187,not me trying to swipe on the way out of the nyc subway,2021-08-11 22:50:34+00:00,2021-08-11,2021-32,Subway,Positive,"The tweet mentions attempting to swipe on the subway, indicating a positive sentiment."
2101,2101,4188,"it is really hard to buy the whole message ""we are making things safe""and ""we are working for you ""when people smokes crack inside the train station 116th 2 3 line south",2021-08-11 22:39:52+00:00,2021-08-11,2021-32,Subway,Negative,"The tweet expresses frustration with the inconsistency of the ""safe"" message when people are smoking crack in train stations."
2102,2102,4189,oh my god i am on an train train passing jfk and i swear to god i checked my flight application because i always do this near airports and i watched a plane from denver just land! hello!,2021-08-11 22:39:19+00:00,2021-08-11,2021-32,Unknown,,
2103,2103,4191,"i thought i would be taking the subway into manhattan all the time, but to be honest i am perfectly fine skating and hanging out in brooklyn.",2021-08-11 22:25:30+00:00,2021-08-11,2021-32,Unknown,Neutral,"The tweet suggests a neutral attitude towards travel modes, as the person is content with skating and hanging out in Brooklyn instead of taking the subway into Manhattan."
2104,2104,4193,seriously?! and this train is going to dump us at lorimer and skip bedford all the way to union sq ?! there has to be a better more logical way to catch up a delayed schedule. this is ridiculous.,2021-08-11 22:01:50+00:00,2021-08-11,2021-32,Subway,Negative,The train is taking an unreasonable route to catch up with the delayed schedule.
2105,2105,4194,on the on my way to manhattan. many met fans on board. very few wearing masks. ?,2021-08-11 22:01:07+00:00,2021-08-11,2021-32,Subway,Negative,The lack of mask-wearing on a crowded subway is concerning during a pandemic.
2106,2106,4195,"so to make up time, the train just skips morgan huh. the whole platform full of people are just whatever. i am missing my 6pm appointment. thanks a lot.",2021-08-11 21:52:12+00:00,2021-08-11,2021-32,Subway,Negative,The train skipping a stop caused the speaker to miss their appointment.
2107,2107,4196,did another l train got canceled ?! have been waiting here at morgan for manhattan b and d train for 9 mins !,2021-08-11 21:44:32+00:00,2021-08-11,2021-32,Subway,Negative,"The L train was canceled again, causing frustration for the tweet writer."
2108,2108,4198,"crazy thing about covid in the us is that many people will not admit that our covid restrictions did not work &amp; want to do them again versus delta! even after mass vaccinations! they are either choosing ego and politics over humanity, or they are brainwashed. awful watching this train wreck.",2021-08-11 21:40:44+00:00,2021-08-11,2021-32,Unknown,Negative,The tweet expresses frustration and disappointment with people who refuse to acknowledge the ineffectiveness of COVID restrictions and the need to reimplement them despite mass vaccination.
2109,2109,4199,how are you going to not wear a mask on the subway but then also lean into peoples personal space to look at the map behind them? are you that incapable of being a decent human?,2021-08-11 21:38:35+00:00,2021-08-11,2021-32,Subway,Negative,The tweet expresses frustration towards someone who is inconsiderate of personal space on the subway.
2110,2110,4201,if you are a law abiding citizen please do not hang out with me because i am a rebel. we will get stooooopid little citations for doubling up when we swipe into the subway.,2021-08-11 20:56:49+00:00,2021-08-11,2021-32,Subway,Neutral,"The tweet mentions getting citations for subway swipes, indicating a neutral sentiment."
2111,2111,4202,i feel you hard. i really hate the police cruiser in the brooklyn bridge path at tillary.,2021-08-11 20:54:48+00:00,2021-08-11,2021-32,Unknown,Negative,The tweet expresses frustration with a police cruiser blocking a path in Brooklyn.
2112,2112,4203,subway air conditioner be bussin',2021-08-11 20:49:59+00:00,2021-08-11,2021-32,Subway,Positive,The tweet is a humorous observation about the subway's air conditioning.
2113,2113,4205,i think i just saw step off the m train and i am mad i did not say hi..,2021-08-11 20:27:55+00:00,2021-08-11,2021-32,Subway,Negative,The speaker regrets not saying hi to someone they saw getting off the train.
2114,2114,4206,"on the hottest day of the year, you can bet your bottom dollar that every train you enter will have broken ac.",2021-08-11 20:25:25+00:00,2021-08-11,2021-32,Subway,Negative,The AC on the subway was broken during the hottest day of the year.
2115,2115,4207,the platform and crowds continue to build as the wait times for the 2 train towards 241st street is despicable. 15 20 minute wait times have become the normal at all times of the day. what has happened to this company? https: and and t.co and l76bago5rz,2021-08-11 20:25:22+00:00,2021-08-11,2021-32,Subway,Negative,"The wait times for the 2 train have become unacceptably long, indicating a failure on the part of the company to manage crowds and platform capacity."
2116,2116,4210,not subway,2021-08-11 19:20:20+00:00,2021-08-11,2021-32,Unknown,Neutral,"The tweet doesn't mention any mode of travel, so the sentiment is neutral."
2117,2117,4217,"indeed, at hotel there are the common spaces and the train is long, you cannot trust the passengers to keep their masks on. however, if you are vaccinated and you keep your mask up.... there is no absolute rules and it all depends on your risk acceptance level.",2021-08-11 18:17:48+00:00,2021-08-11,2021-32,Unknown,Neutral,"The tweet mentions the risk acceptance level of passengers regarding mask-wearing, indicating a neutral sentiment."
